sample_idx,label,word,language,digit,speaker,trial,original_filename,speaker_gender,speaker_age,speaker_height
59,11,eins,german,1,11,0,lang-german_speaker-11_trial-0_digit-1.flac,female,31,163
60,19,neun,german,9,9,0,lang-german_speaker-09_trial-0_digit-9.flac,male,32,183
61,1,one,english,1,10,1,lang-english_speaker-10_trial-1_digit-1.flac,female,25,160
62,7,seven,english,7,9,0,lang-english_speaker-09_trial-0_digit-7.flac,male,32,183
63,6,six,english,6,6,0,lang-english_speaker-06_trial-0_digit-6.flac,female,35,163
64,14,vier,german,4,8,0,lang-german_speaker-08_trial-0_digit-4.flac,male,21,182
65,1,one,english,1,7,0,lang-english_speaker-07_trial-0_digit-1.flac,male,56,175
66,0,zero,english,0,1,0,lang-english_speaker-01_trial-0_digit-0.flac,male,22,195
67,6,six,english,6,9,0,lang-english_speaker-09_trial-0_digit-6.flac,male,32,183
68,10,null,german,0,11,0,lang-german_speaker-11_trial-0_digit-0.flac,female,31,163
69,17,sieben,german,7,1,1,lang-german_speaker-01_trial-1_digit-7.flac,male,22,195
70,11,eins,german,1,3,0,lang-german_speaker-03_trial-0_digit-1.flac,female,23,174
71,1,one,english,1,10,1,lang-english_speaker-10_trial-1_digit-1.flac,female,25,160
72,13,drei,german,3,11,0,lang-german_speaker-11_trial-0_digit-3.flac,female,31,163
73,8,eight,english,8,11,1,lang-english_speaker-11_trial-1_digit-8.flac,female,31,163
74,13,drei,german,3,3,0,lang-german_speaker-03_trial-0_digit-3.flac,female,23,174
75,2,two,english,2,10,1,lang-english_speaker-10_trial-1_digit-2.flac,female,25,160
76,19,neun,german,9,0,0,lang-german_speaker-00_trial-0_digit-9.flac,male,24,180
77,6,six,english,6,10,1,lang-english_speaker-10_trial-1_digit-6.flac,female,25,160
78,19,neun,german,9,3,0,lang-german_speaker-03_trial-0_digit-9.flac,female,23,174
79,9,nine,english,9,0,0,lang-english_speaker-00_trial-0_digit-9.flac,male,24,180
80,8,eight,english,8,9,0,lang-english_speaker-09_trial-0_digit-8.flac,male,32,183
81,2,two,english,2,9,0,lang-english_speaker-09_trial-0_digit-2.flac,male,32,183
82,18,acht,german,8,9,0,lang-german_speaker-09_trial-0_digit-8.flac,male,32,183
83,7,seven,english,7,8,0,lang-english_speaker-08_trial-0_digit-7.flac,male,21,182
84,4,four,english,4,7,0,lang-english_speaker-07_trial-0_digit-4.flac,male,56,175
85,7,seven,english,7,0,0,lang-english_speaker-00_trial-0_digit-7.flac,male,24,180
86,2,two,english,2,7,0,lang-english_speaker-07_trial-0_digit-2.flac,male,56,175
87,3,three,english,3,7,0,lang-english_speaker-07_trial-0_digit-3.flac,male,56,175
88,13,drei,german,3,3,0,lang-german_speaker-03_trial-0_digit-3.flac,female,23,174
89,9,nine,english,9,8,0,lang-english_speaker-08_trial-0_digit-9.flac,male,21,182
90,14,vier,german,4,6,0,lang-german_speaker-06_trial-0_digit-4.flac,female,35,163
91,18,acht,german,8,11,0,lang-german_speaker-11_trial-0_digit-8.flac,female,31,163
92,2,two,english,2,0,0,lang-english_speaker-00_trial-0_digit-2.flac,male,24,180
93,1,one,english,1,10,1,lang-english_speaker-10_trial-1_digit-1.flac,female,25,160
94,14,vier,german,4,11,0,lang-german_speaker-11_trial-0_digit-4.flac,female,31,163
95,0,zero,english,0,9,1,lang-english_speaker-09_trial-1_digit-0.flac,male,32,183
96,19,neun,german,9,7,0,lang-german_speaker-07_trial-0_digit-9.flac,male,56,175
97,9,nine,english,9,10,1,lang-english_speaker-10_trial-1_digit-9.flac,female,25,160
98,15,fuenf,german,5,8,0,lang-german_speaker-08_trial-0_digit-5.flac,male,21,182
99,6,six,english,6,0,0,lang-english_speaker-00_trial-0_digit-6.flac,male,24,180
100,13,drei,german,3,8,0,lang-german_speaker-08_trial-0_digit-3.flac,male,21,182
101,19,neun,german,9,10,0,lang-german_speaker-10_trial-0_digit-9.flac,female,25,160
102,12,zwei,german,2,6,0,lang-german_speaker-06_trial-0_digit-2.flac,female,35,163
103,0,zero,english,0,6,0,lang-english_speaker-06_trial-0_digit-0.flac,female,35,163
104,19,neun,german,9,9,0,lang-german_speaker-09_trial-0_digit-9.flac,male,32,183
105,5,five,english,5,6,0,lang-english_speaker-06_trial-0_digit-5.flac,female,35,163
106,11,eins,german,1,11,0,lang-german_speaker-11_trial-0_digit-1.flac,female,31,163
107,14,vier,german,4,3,0,lang-german_speaker-03_trial-0_digit-4.flac,female,23,174
108,3,three,english,3,2,0,lang-english_speaker-02_trial-0_digit-3.flac,female,23,158
109,16,sechs,german,6,6,0,lang-german_speaker-06_trial-0_digit-6.flac,female,35,163
110,18,acht,german,8,11,0,lang-german_speaker-11_trial-0_digit-8.flac,female,31,163
111,17,sieben,german,7,0,0,lang-german_speaker-00_trial-0_digit-7.flac,male,24,180
112,14,vier,german,4,11,0,lang-german_speaker-11_trial-0_digit-4.flac,female,31,163
113,14,vier,german,4,2,0,lang-german_speaker-02_trial-0_digit-4.flac,female,23,158
114,19,neun,german,9,11,0,lang-german_speaker-11_trial-0_digit-9.flac,female,31,163
115,3,three,english,3,11,1,lang-english_speaker-11_trial-1_digit-3.flac,female,31,163
116,11,eins,german,1,1,1,lang-german_speaker-01_trial-1_digit-1.flac,male,22,195
117,9,nine,english,9,10,1,lang-english_speaker-10_trial-1_digit-9.flac,female,25,160
118,17,sieben,german,7,2,0,lang-german_speaker-02_trial-0_digit-7.flac,female,23,158
119,0,zero,english,0,10,2,lang-english_speaker-10_trial-2_digit-0.flac,female,25,160
120,1,one,english,1,11,1,lang-english_speaker-11_trial-1_digit-1.flac,female,31,163
121,8,eight,english,8,10,2,lang-english_speaker-10_trial-2_digit-8.flac,female,25,160
122,0,zero,english,0,3,0,lang-english_speaker-03_trial-0_digit-0.flac,female,23,174
123,7,seven,english,7,0,0,lang-english_speaker-00_trial-0_digit-7.flac,male,24,180
124,10,null,german,0,9,1,lang-german_speaker-09_trial-1_digit-0.flac,male,32,183
125,2,two,english,2,8,0,lang-english_speaker-08_trial-0_digit-2.flac,male,21,182
126,7,seven,english,7,7,0,lang-english_speaker-07_trial-0_digit-7.flac,male,56,175
127,13,drei,german,3,1,1,lang-german_speaker-01_trial-1_digit-3.flac,male,22,195
128,0,zero,english,0,8,1,lang-english_speaker-08_trial-1_digit-0.flac,male,21,182
129,14,vier,german,4,2,0,lang-german_speaker-02_trial-0_digit-4.flac,female,23,158
130,17,sieben,german,7,10,0,lang-german_speaker-10_trial-0_digit-7.flac,female,25,160
131,19,neun,german,9,11,0,lang-german_speaker-11_trial-0_digit-9.flac,female,31,163
132,11,eins,german,1,11,1,lang-german_speaker-11_trial-1_digit-1.flac,female,31,163
133,1,one,english,1,9,1,lang-english_speaker-09_trial-1_digit-1.flac,male,32,183
134,17,sieben,german,7,7,0,lang-german_speaker-07_trial-0_digit-7.flac,male,56,175
135,12,zwei,german,2,8,0,lang-german_speaker-08_trial-0_digit-2.flac,male,21,182
136,16,sechs,german,6,3,0,lang-german_speaker-03_trial-0_digit-6.flac,female,23,174
137,2,two,english,2,10,2,lang-english_speaker-10_trial-2_digit-2.flac,female,25,160
138,0,zero,english,0,0,1,lang-english_speaker-00_trial-1_digit-0.flac,male,24,180
139,11,eins,german,1,7,1,lang-german_speaker-07_trial-1_digit-1.flac,male,56,175
140,18,acht,german,8,2,0,lang-german_speaker-02_trial-0_digit-8.flac,female,23,158
141,9,nine,english,9,8,1,lang-english_speaker-08_trial-1_digit-9.flac,male,21,182
142,14,vier,german,4,11,1,lang-german_speaker-11_trial-1_digit-4.flac,female,31,163
143,14,vier,german,4,1,1,lang-german_speaker-01_trial-1_digit-4.flac,male,22,195
144,19,neun,german,9,11,1,lang-german_speaker-11_trial-1_digit-9.flac,female,31,163
145,10,null,german,0,1,2,lang-german_speaker-01_trial-2_digit-0.flac,male,22,195
146,15,fuenf,german,5,1,2,lang-german_speaker-01_trial-2_digit-5.flac,male,22,195
147,16,sechs,german,6,6,0,lang-german_speaker-06_trial-0_digit-6.flac,female,35,163
148,15,fuenf,german,5,11,1,lang-german_speaker-11_trial-1_digit-5.flac,female,31,163
149,5,five,english,5,3,0,lang-english_speaker-03_trial-0_digit-5.flac,female,23,174
150,12,zwei,german,2,10,0,lang-german_speaker-10_trial-0_digit-2.flac,female,25,160
151,7,seven,english,7,11,1,lang-english_speaker-11_trial-1_digit-7.flac,female,31,163
152,10,null,german,0,2,1,lang-german_speaker-02_trial-1_digit-0.flac,female,23,158
153,5,five,english,5,7,0,lang-english_speaker-07_trial-0_digit-5.flac,male,56,175
154,4,four,english,4,3,0,lang-english_speaker-03_trial-0_digit-4.flac,female,23,174
155,15,fuenf,german,5,10,0,lang-german_speaker-10_trial-0_digit-5.flac,female,25,160
156,0,zero,english,0,8,2,lang-english_speaker-08_trial-2_digit-0.flac,male,21,182
157,16,sechs,german,6,1,2,lang-german_speaker-01_trial-2_digit-6.flac,male,22,195
158,17,sieben,german,7,11,1,lang-german_speaker-11_trial-1_digit-7.flac,female,31,163
159,0,zero,english,0,9,1,lang-english_speaker-09_trial-1_digit-0.flac,male,32,183
160,2,two,english,2,1,0,lang-english_speaker-01_trial-0_digit-2.flac,male,22,195
161,4,four,english,4,7,0,lang-english_speaker-07_trial-0_digit-4.flac,male,56,175
162,15,fuenf,german,5,8,0,lang-german_speaker-08_trial-0_digit-5.flac,male,21,182
163,9,nine,english,9,11,1,lang-english_speaker-11_trial-1_digit-9.flac,female,31,163
164,2,two,english,2,9,1,lang-english_speaker-09_trial-1_digit-2.flac,male,32,183
165,4,four,english,4,3,0,lang-english_speaker-03_trial-0_digit-4.flac,female,23,174
166,10,null,german,0,8,0,lang-german_speaker-08_trial-0_digit-0.flac,male,21,182
167,14,vier,german,4,11,1,lang-german_speaker-11_trial-1_digit-4.flac,female,31,163
168,3,three,english,3,2,0,lang-english_speaker-02_trial-0_digit-3.flac,female,23,158
169,18,acht,german,8,11,1,lang-german_speaker-11_trial-1_digit-8.flac,female,31,163
170,11,eins,german,1,11,2,lang-german_speaker-11_trial-2_digit-1.flac,female,31,163
171,10,null,german,0,11,2,lang-german_speaker-11_trial-2_digit-0.flac,female,31,163
172,13,drei,german,3,0,0,lang-german_speaker-00_trial-0_digit-3.flac,male,24,180
173,3,three,english,3,8,2,lang-english_speaker-08_trial-2_digit-3.flac,male,21,182
174,5,five,english,5,11,1,lang-english_speaker-11_trial-1_digit-5.flac,female,31,163
175,9,nine,english,9,1,0,lang-english_speaker-01_trial-0_digit-9.flac,male,22,195
176,7,seven,english,7,6,0,lang-english_speaker-06_trial-0_digit-7.flac,female,35,163
177,18,acht,german,8,10,0,lang-german_speaker-10_trial-0_digit-8.flac,female,25,160
178,6,six,english,6,0,1,lang-english_speaker-00_trial-1_digit-6.flac,male,24,180
179,11,eins,german,1,11,2,lang-german_speaker-11_trial-2_digit-1.flac,female,31,163
180,11,eins,german,1,3,1,lang-german_speaker-03_trial-1_digit-1.flac,female,23,174
181,4,four,english,4,7,0,lang-english_speaker-07_trial-0_digit-4.flac,male,56,175
182,1,one,english,1,0,1,lang-english_speaker-00_trial-1_digit-1.flac,male,24,180
183,7,seven,english,7,6,0,lang-english_speaker-06_trial-0_digit-7.flac,female,35,163
184,10,null,german,0,1,2,lang-german_speaker-01_trial-2_digit-0.flac,male,22,195
185,7,seven,english,7,9,1,lang-english_speaker-09_trial-1_digit-7.flac,male,32,183
186,2,two,english,2,9,1,lang-english_speaker-09_trial-1_digit-2.flac,male,32,183
187,17,sieben,german,7,7,1,lang-german_speaker-07_trial-1_digit-7.flac,male,56,175
188,10,null,german,0,7,2,lang-german_speaker-07_trial-2_digit-0.flac,male,56,175
189,17,sieben,german,7,6,0,lang-german_speaker-06_trial-0_digit-7.flac,female,35,163
190,17,sieben,german,7,9,1,lang-german_speaker-09_trial-1_digit-7.flac,male,32,183
191,4,four,english,4,1,0,lang-english_speaker-01_trial-0_digit-4.flac,male,22,195
192,13,drei,german,3,2,1,lang-german_speaker-02_trial-1_digit-3.flac,female,23,158
193,19,neun,german,9,2,1,lang-german_speaker-02_trial-1_digit-9.flac,female,23,158
194,12,zwei,german,2,10,0,lang-german_speaker-10_trial-0_digit-2.flac,female,25,160
195,4,four,english,4,7,0,lang-english_speaker-07_trial-0_digit-4.flac,male,56,175
196,6,six,english,6,0,1,lang-english_speaker-00_trial-1_digit-6.flac,male,24,180
197,4,four,english,4,6,0,lang-english_speaker-06_trial-0_digit-4.flac,female,35,163
198,6,six,english,6,10,2,lang-english_speaker-10_trial-2_digit-6.flac,female,25,160
199,13,drei,german,3,11,2,lang-german_speaker-11_trial-2_digit-3.flac,female,31,163
200,0,zero,english,0,11,2,lang-english_speaker-11_trial-2_digit-0.flac,female,31,163
201,7,seven,english,7,1,0,lang-english_speaker-01_trial-0_digit-7.flac,male,22,195
202,1,one,english,1,7,0,lang-english_speaker-07_trial-0_digit-1.flac,male,56,175
203,15,fuenf,german,5,10,0,lang-german_speaker-10_trial-0_digit-5.flac,female,25,160
204,2,two,english,2,9,1,lang-english_speaker-09_trial-1_digit-2.flac,male,32,183
205,1,one,english,1,0,1,lang-english_speaker-00_trial-1_digit-1.flac,male,24,180
206,9,nine,english,9,2,0,lang-english_speaker-02_trial-0_digit-9.flac,female,23,158
207,15,fuenf,german,5,10,0,lang-german_speaker-10_trial-0_digit-5.flac,female,25,160
208,8,eight,english,8,10,2,lang-english_speaker-10_trial-2_digit-8.flac,female,25,160
209,4,four,english,4,0,1,lang-english_speaker-00_trial-1_digit-4.flac,male,24,180
210,14,vier,german,4,11,2,lang-german_speaker-11_trial-2_digit-4.flac,female,31,163
211,5,five,english,5,3,0,lang-english_speaker-03_trial-0_digit-5.flac,female,23,174
212,15,fuenf,german,5,2,1,lang-german_speaker-02_trial-1_digit-5.flac,female,23,158
213,15,fuenf,german,5,0,0,lang-german_speaker-00_trial-0_digit-5.flac,male,24,180
214,1,one,english,1,8,2,lang-english_speaker-08_trial-2_digit-1.flac,male,21,182
215,18,acht,german,8,3,1,lang-german_speaker-03_trial-1_digit-8.flac,female,23,174
216,10,null,german,0,10,1,lang-german_speaker-10_trial-1_digit-0.flac,female,25,160
217,14,vier,german,4,8,0,lang-german_speaker-08_trial-0_digit-4.flac,male,21,182
218,4,four,english,4,2,0,lang-english_speaker-02_trial-0_digit-4.flac,female,23,158
219,14,vier,german,4,9,1,lang-german_speaker-09_trial-1_digit-4.flac,male,32,183
220,1,one,english,1,8,2,lang-english_speaker-08_trial-2_digit-1.flac,male,21,182
221,4,four,english,4,0,1,lang-english_speaker-00_trial-1_digit-4.flac,male,24,180
222,4,four,english,4,11,2,lang-english_speaker-11_trial-2_digit-4.flac,female,31,163
223,16,sechs,german,6,10,1,lang-german_speaker-10_trial-1_digit-6.flac,female,25,160
224,17,sieben,german,7,11,2,lang-german_speaker-11_trial-2_digit-7.flac,female,31,163
225,13,drei,german,3,0,0,lang-german_speaker-00_trial-0_digit-3.flac,male,24,180
226,7,seven,english,7,3,0,lang-english_speaker-03_trial-0_digit-7.flac,female,23,174
227,8,eight,english,8,8,2,lang-english_speaker-08_trial-2_digit-8.flac,male,21,182
228,6,six,english,6,2,0,lang-english_speaker-02_trial-0_digit-6.flac,female,23,158
229,17,sieben,german,7,10,1,lang-german_speaker-10_trial-1_digit-7.flac,female,25,160
230,17,sieben,german,7,0,0,lang-german_speaker-00_trial-0_digit-7.flac,male,24,180
231,15,fuenf,german,5,10,1,lang-german_speaker-10_trial-1_digit-5.flac,female,25,160
232,12,zwei,german,2,1,2,lang-german_speaker-01_trial-2_digit-2.flac,male,22,195
233,1,one,english,1,10,2,lang-english_speaker-10_trial-2_digit-1.flac,female,25,160
234,5,five,english,5,8,2,lang-english_speaker-08_trial-2_digit-5.flac,male,21,182
235,18,acht,german,8,9,1,lang-german_speaker-09_trial-1_digit-8.flac,male,32,183
236,10,null,german,0,6,1,lang-german_speaker-06_trial-1_digit-0.flac,female,35,163
237,14,vier,german,4,3,1,lang-german_speaker-03_trial-1_digit-4.flac,female,23,174
238,15,fuenf,german,5,6,1,lang-german_speaker-06_trial-1_digit-5.flac,female,35,163
239,14,vier,german,4,9,1,lang-german_speaker-09_trial-1_digit-4.flac,male,32,183
240,5,five,english,5,7,0,lang-english_speaker-07_trial-0_digit-5.flac,male,56,175
241,1,one,english,1,2,1,lang-english_speaker-02_trial-1_digit-1.flac,female,23,158
242,4,four,english,4,7,0,lang-english_speaker-07_trial-0_digit-4.flac,male,56,175
243,10,null,german,0,9,2,lang-german_speaker-09_trial-2_digit-0.flac,male,32,183
244,7,seven,english,7,11,2,lang-english_speaker-11_trial-2_digit-7.flac,female,31,163
245,15,fuenf,german,5,11,2,lang-german_speaker-11_trial-2_digit-5.flac,female,31,163
246,16,sechs,german,6,3,1,lang-german_speaker-03_trial-1_digit-6.flac,female,23,174
247,13,drei,german,3,2,1,lang-german_speaker-02_trial-1_digit-3.flac,female,23,158
248,15,fuenf,german,5,9,2,lang-german_speaker-09_trial-2_digit-5.flac,male,32,183
249,4,four,english,4,1,0,lang-english_speaker-01_trial-0_digit-4.flac,male,22,195
250,6,six,english,6,10,2,lang-english_speaker-10_trial-2_digit-6.flac,female,25,160
251,2,two,english,2,2,1,lang-english_speaker-02_trial-1_digit-2.flac,female,23,158
252,6,six,english,6,9,1,lang-english_speaker-09_trial-1_digit-6.flac,male,32,183
253,8,eight,english,8,9,1,lang-english_speaker-09_trial-1_digit-8.flac,male,32,183
254,8,eight,english,8,7,0,lang-english_speaker-07_trial-0_digit-8.flac,male,56,175
255,8,eight,english,8,8,2,lang-english_speaker-08_trial-2_digit-8.flac,male,21,182
256,3,three,english,3,11,2,lang-english_speaker-11_trial-2_digit-3.flac,female,31,163
257,15,fuenf,german,5,11,2,lang-german_speaker-11_trial-2_digit-5.flac,female,31,163
258,9,nine,english,9,10,2,lang-english_speaker-10_trial-2_digit-9.flac,female,25,160
259,19,neun,german,9,8,0,lang-german_speaker-08_trial-0_digit-9.flac,male,21,182
260,3,three,english,3,1,0,lang-english_speaker-01_trial-0_digit-3.flac,male,22,195
261,13,drei,german,3,3,1,lang-german_speaker-03_trial-1_digit-3.flac,female,23,174
262,16,sechs,german,6,2,1,lang-german_speaker-02_trial-1_digit-6.flac,female,23,158
263,16,sechs,german,6,9,2,lang-german_speaker-09_trial-2_digit-6.flac,male,32,183
264,4,four,english,4,10,2,lang-english_speaker-10_trial-2_digit-4.flac,female,25,160
265,17,sieben,german,7,9,2,lang-german_speaker-09_trial-2_digit-7.flac,male,32,183
266,8,eight,english,8,0,1,lang-english_speaker-00_trial-1_digit-8.flac,male,24,180
267,6,six,english,6,2,1,lang-english_speaker-02_trial-1_digit-6.flac,female,23,158
268,17,sieben,german,7,1,2,lang-german_speaker-01_trial-2_digit-7.flac,male,22,195
269,15,fuenf,german,5,7,2,lang-german_speaker-07_trial-2_digit-5.flac,male,56,175
270,0,zero,english,0,2,1,lang-english_speaker-02_trial-1_digit-0.flac,female,23,158
271,2,two,english,2,10,2,lang-english_speaker-10_trial-2_digit-2.flac,female,25,160
272,8,eight,english,8,1,0,lang-english_speaker-01_trial-0_digit-8.flac,male,22,195
273,13,drei,german,3,0,0,lang-german_speaker-00_trial-0_digit-3.flac,male,24,180
274,18,acht,german,8,10,1,lang-german_speaker-10_trial-1_digit-8.flac,female,25,160
275,17,sieben,german,7,3,1,lang-german_speaker-03_trial-1_digit-7.flac,female,23,174
276,0,zero,english,0,9,2,lang-english_speaker-09_trial-2_digit-0.flac,male,32,183
277,0,zero,english,0,9,2,lang-english_speaker-09_trial-2_digit-0.flac,male,32,183
278,19,neun,german,9,8,0,lang-german_speaker-08_trial-0_digit-9.flac,male,21,182
279,12,zwei,german,2,11,2,lang-german_speaker-11_trial-2_digit-2.flac,female,31,163
280,19,neun,german,9,7,2,lang-german_speaker-07_trial-2_digit-9.flac,male,56,175
281,1,one,english,1,2,1,lang-english_speaker-02_trial-1_digit-1.flac,female,23,158
282,14,vier,german,4,11,2,lang-german_speaker-11_trial-2_digit-4.flac,female,31,163
283,2,two,english,2,6,0,lang-english_speaker-06_trial-0_digit-2.flac,female,35,163
284,5,five,english,5,10,2,lang-english_speaker-10_trial-2_digit-5.flac,female,25,160
285,6,six,english,6,0,1,lang-english_speaker-00_trial-1_digit-6.flac,male,24,180
286,19,neun,german,9,11,2,lang-german_speaker-11_trial-2_digit-9.flac,female,31,163
287,1,one,english,1,11,2,lang-english_speaker-11_trial-2_digit-1.flac,female,31,163
288,8,eight,english,8,2,1,lang-english_speaker-02_trial-1_digit-8.flac,female,23,158
289,12,zwei,german,2,3,1,lang-german_speaker-03_trial-1_digit-2.flac,female,23,174
290,14,vier,german,4,9,2,lang-german_speaker-09_trial-2_digit-4.flac,male,32,183
291,1,one,english,1,11,2,lang-english_speaker-11_trial-2_digit-1.flac,female,31,163
292,16,sechs,german,6,9,2,lang-german_speaker-09_trial-2_digit-6.flac,male,32,183
293,11,eins,german,1,1,2,lang-german_speaker-01_trial-2_digit-1.flac,male,22,195
294,1,one,english,1,7,0,lang-english_speaker-07_trial-0_digit-1.flac,male,56,175
295,18,acht,german,8,8,0,lang-german_speaker-08_trial-0_digit-8.flac,male,21,182
296,13,drei,german,3,11,2,lang-german_speaker-11_trial-2_digit-3.flac,female,31,163
297,12,zwei,german,2,0,0,lang-german_speaker-00_trial-0_digit-2.flac,male,24,180
298,16,sechs,german,6,1,2,lang-german_speaker-01_trial-2_digit-6.flac,male,22,195
299,6,six,english,6,8,2,lang-english_speaker-08_trial-2_digit-6.flac,male,21,182
300,7,seven,english,7,2,1,lang-english_speaker-02_trial-1_digit-7.flac,female,23,158
301,1,one,english,1,11,2,lang-english_speaker-11_trial-2_digit-1.flac,female,31,163
302,2,two,english,2,2,1,lang-english_speaker-02_trial-1_digit-2.flac,female,23,158
303,9,nine,english,9,6,0,lang-english_speaker-06_trial-0_digit-9.flac,female,35,163
304,12,zwei,german,2,8,0,lang-german_speaker-08_trial-0_digit-2.flac,male,21,182
305,18,acht,german,8,11,2,lang-german_speaker-11_trial-2_digit-8.flac,female,31,163
306,11,eins,german,1,11,3,lang-german_speaker-11_trial-3_digit-1.flac,female,31,163
307,19,neun,german,9,11,3,lang-german_speaker-11_trial-3_digit-9.flac,female,31,163
308,4,four,english,4,9,2,lang-english_speaker-09_trial-2_digit-4.flac,male,32,183
